AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
2011,2011,1,Other Rockfish,WYK,,276,276
2011,2011,1,Other Skates,GW,"2,791","2,093","2,093"
2011,2011,1,Pacific Ocean Perch,C,"11,948","10,379","10,379"
2011,2011,1,Pacific Ocean Perch,E (WYK and SEO subtotal),"4,397","3,820","3,820"
2011,2011,1,Pacific Ocean Perch,SEO,,"1,883","1,883"
2011,2011,1,Pacific Ocean Perch,Total,"19,566","16,997","16,997"
2011,2011,1,Pacific Ocean Perch,W,"3,221","2,798","2,798"
2011,2011,1,Pacific Ocean Perch,WYK,,"1,937","1,937"
2011,2011,1,Pacific cod,C,,"53,816","40,362"
2011,2011,1,Pacific cod,E,,"2,604","1,953"
2011,2011,1,Pacific cod,Total,"102,600","86,800","65,100"
2011,2011,1,Pacific cod,W,,"30,380","22,785"
2011,2011,1,Pelagic Shelf Rockfish,C,,"3,052","3,052"
2011,2011,1,Pelagic Shelf Rockfish,SEO,,684,684
2011,2011,1,Pelagic Shelf Rockfish,Total,"5,570","4,754","4,754"
2011,2011,1,Pelagic Shelf Rockfish,W,,611,611
2011,2011,1,Pelagic Shelf Rockfish,WYK,,407,407
2011,2011,1,Pollock,Chirikof (620),,"37,365","37,365"
2011,2011,1,Pollock,Kodiak (630),,"20,235","20,235"
2011,2011,1,Pollock,SEO (650),"12,326","9,245","9,245"
2011,2011,1,Pollock,Shumagin (610),,"27,031","27,031"
2011,2011,1,Pollock,Total,"130,356","96,215","96,215"
2011,2011,1,Pollock,W/C/WYK (subtotal),"118,030","86,970","86,970"
2011,2011,1,Pollock,WYK (640),,"2,339","2,339"
2011,2011,1,Rex Sole,C,,"6,294","6,294"
2011,2011,1,Rex Sole,SEO,,886,886
2011,2011,1,Rex Sole,Total,"12,499","9,565","9,565"
2011,2011,1,Rex Sole,W,,"1,517","1,517"
2011,2011,1,Rex Sole,WYK,,868,868
2011,2011,1,Rougheye and Blackspotted Rockfish,C,,868,868
2011,2011,1,Rougheye and Blackspotted Rockfish,E,,363,363
2011,2011,1,Rougheye and Blackspotted Rockfish,Total,"1,579","1,312","1,312"
2011,2011,1,Rougheye and Blackspotted Rockfish,W,,81,81
2011,2011,1,Sablefish,C,,"4,740","4,740"
2011,2011,1,Sablefish,E (WYK and SEO subtotal),,"4,930","4,930"
2011,2011,1,Sablefish,SEO,,"2,940","2,940"
2011,2011,1,Sablefish,Total,"13,340","11,290","11,290"
2011,2011,1,Sablefish,W,,"1,620","1,620"
2011,2011,1,Sablefish,WYK,,"1,990","1,990"
2011,2011,1,Sculpins,GW,"7,328","5,496","5,496"
2011,2011,1,Shallow-water Flatfish,C,,"29,999","13,000"
2011,2011,1,Shallow-water Flatfish,SEO,,"1,334","1,334"
2011,2011,1,Shallow-water Flatfish,Total,"67,768","56,242","20,062"
